771,668
770,669
770,669
770,669
770,669
770,669
770,669
770,669
770,668
770,668
770,668
770,668
770,668
770,668
770,668
770,668
770,668
770,668
770,668
770,668
770,668
770,668
770,668
770,668
770,668
771,667
772,667
774,666
774,666
775,666
776,666
777,666
778,666
779,666
782,666
788,664
810,636
869,547
947,453
997,416
1018,406
1039,399
1061,394
1041,423
938,543
841,682
774,797
754,834
747,848
730,881
730,881
796,760
979,512
1144,354
1202,313
1220,302
1263,275
1212,335
1068,481
997,557
975,583
960,601
954,613
1011,589
1080,556
1116,543
1151,536
1171,537
1172,552
1153,574
1128,601
1105,638
1077,711
1059,766
1054,782
1049,795
1041,794
1043,733
1089,598
1143,523
1143,523
1182,495
1199,488
1213,487
1208,504
1181,536
1154,559
1143,569
1133,577
1132,577
1145,572
1159,568
1171,567
1178,567
1178,569
1178,571
1178,572
1178,569
1184,559
1190,554
1195,551
1196,551
1191,562
1181,572
1174,577
1166,579
1166,579
1169,568
1180,559
1189,554
1199,550
1199,557
1179,582
1146,612
1126,623
1115,628
1100,630
1106,601
1140,557
1175,520
1187,510
1204,497
1199,500
1158,529
1123,553
1053,601
1013,630
980,653
956,670
945,677
937,682
931,683
936,656
961,597
1004,521
1004,521
1052,454
1068,436
1073,430
1082,417
1077,419
1047,443
1021,466
1003,482
995,491
988,497
1006,478
1056,429
1092,397
1102,390
1126,375
1119,389
1087,426
1042,470
1016,493
996,511
985,519
978,523
976,524
976,514
993,467
1020,395
1042,334
1050,312
1057,295
1057,295
1061,282
1064,280
1064,289
1059,314
1055,361
1055,402
1066,445
1080,474
1092,498
1099,514
1103,524
1103,528
1103,529
1101,529
1094,522
1084,512
1079,506
1069,498
1063,492
1057,489
1056,487
1059,487
1083,491
1119,506
1172,535
1206,558
1232,581
1248,598
1259,613
1259,622
1236,625
1236,625
1171,606
1090,557
1043,516
1013,476
997,440
997,416
1012,403
1053,399
1096,415
1124,433
1145,450
1156,463
1163,472
1166,477
1166,480
1154,478
1136,460
1119,437
1113,428
1104,414
1106,411
1128,432
1149,453
1163,470
1173,496
1173,517
1147,532
1075,542
948,533
831,481
761,426
720,374
693,312
691,268
716,238
793,213
793,213
919,213
1044,263
1167,340
1232,396
1252,423
1280,480
1279,507
1248,526
1141,531
1046,495
978,443
933,393
923,376
915,350
940,346
976,355
1014,379
1027,391
1037,400
1045,406
1045,406
1045,406
1045,404
1047,404
1064,414
1088,435
1099,443
1108,449
1116,455
1118,456
1109,449
1084,430
1049,408
1024,395
993,378
961,359
942,349
928,342
921,338
917,337
917,341
937,367
971,411
1019,468
1049,501
1070,523
1082,534
1089,540
1092,542
1088,527
1066,480
1066,480
1066,480
1066,480
1066,480
1066,480
1066,480
1066,480
1064,480
1024,486
1024,486
985,499
937,518
913,534
890,556
880,582
878,625
906,682
961,735
1035,783
1094,807
1170,821
1232,821
1273,803
1299,745
1300,649
1271,528
1219,433
1178,392
1125,363
1058,372
1002,420
974,472
958,544
956,646
990,713
1045,768
1099,793
1167,801
1220,790
1263,755
1287,717
1297,663
1293,585
1256,525
1192,471
1192,471
1122,449
1039,445
973,451
929,473
911,495
897,538
907,588
930,618
964,650
981,657
1006,667
1023,667
1031,666
1033,654
1028,642
1016,631
1004,625
982,619
958,616
939,614
918,612
904,612
894,612
888,612
883,612
878,613
873,614
873,614
864,615
864,615
861,615
859,615
859,613
859,601
859,588
859,575
859,567
859,563
859,561
859,560
859,560
859,560
859,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
858,560
